Symbol,Name,1 Week ∆
CCL,Carnival,0.17208565704796724
EXPE,Expedia Group,0.1499452286534868
RCL,Royal Caribbean Group,0.11023459966944908
PHM,PulteGroup,0.08583378483925216
TSLA,"Tesla, Inc.",0.08525408857301295
ABNB,Airbnb,0.07717723263041085
NVR,"NVR, Inc.",0.05695048638801312
DHI,D.R. Horton,0.05408406706405472
LEN,Lennar,0.05154639175257732
ROST,Ross Stores,0.04774307053010859
MAR,Marriott International,0.043716455503425525
HLT,Hilton Worldwide,0.042737747201602304
GRMN,Garmin,0.027333680636708865
AMZN,Amazon,0.025719209663359402
LULU,Lululemon Athletica,0.024764101102308606
CMG,Chipotle Mexican Grill,0.01961342961163539
BKNG,Booking Holdings,-0.0007939158906869906
