Symbol,Name,5 Year ∆
TSLA,"Tesla, Inc.",9.618990744917364
CMG,Chipotle Mexican Grill,4.064243956860236
DHI,D.R. Horton,2.7045584091677766
LULU,Lululemon Athletica,2.5242166303861073
PHM,PulteGroup,2.3959216203730374
LEN,Lennar,2.2771391583969423
NVR,"NVR, Inc.",1.5880779742476165
HLT,Hilton Worldwide,1.3561280080586804
AMZN,Amazon,0.9458444419768918
MAR,Marriott International,0.9064113058971229
GRMN,Garmin,0.8962413182803403
BKNG,Booking Holdings,0.8334319508804531
ROST,Ross Stores,0.5556490074909286
EXPE,Expedia Group,0.1975143548088991
RCL,Royal Caribbean Group,0.0820124406174637
CCL,Carnival,-0.7044624762616337
ABNB,Airbnb,
