Symbol,Name,13 Week ∆
INTC,Intel,0.3377099655966722
SNPS,Synopsys,0.25529327986465156
FICO,Fair Isaac,0.23180836693718543
CDNS,Cadence Design Systems,0.21636810383863528
NOW,ServiceNow,0.20842102557998615
ANET,Arista Networks,0.18882249287918926
ADBE,Adobe Inc.,0.18603500551698327
AVGO,Broadcom Inc.,0.18392176290077508
PANW,Palo Alto Networks,0.18074297036204567
STX,Seagate Technology,0.1791763644552962
MSFT,Microsoft,0.1686362274535344
INTU,Intuit,0.15268742899447543
AMD,AMD,0.14385970827278172
KLAC,KLA Corporation,0.13930033425930224
NVDA,Nvidia,0.13854828542221234
MPWR,Monolithic Power Systems,0.11969978635987229
CRM,Salesforce,0.08001757185535267
LRCX,Lam Research,0.07259476251543663
AMAT,Applied Materials,0.041567310553464264
ORCL,Oracle Corporation,-0.009445290080444058
