,QQQ,QQQ,QQQ,QQQ,QQQ,QQQ,IWM,IWM,IWM,IWM,IWM,IWM,DIA,DIA,DIA,DIA,DIA,DIA,SPY,SPY,SPY,SPY,SPY,SPY
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-01,173.11000061035156,173.30999755859375,143.4600067138672,154.25999450683594,149.21463012695312,1395544900,154.38999938964844,154.47999572753906,125.80999755859375,133.89999389648438,125.37609100341797,682896600,260.1700134277344,260.29998779296875,216.97000122070312,233.1999969482422,210.91921997070312,136737400,280.2799987792969,280.3999938964844,233.75999450683594,249.9199981689453,229.90907287597656,3102780500
2019-01-01,150.99000549316406,168.99000549316406,149.49000549316406,168.16000366210938,163.1253204345703,933706500,132.1699981689453,149.3000030517578,131.5399932861328,149.05999755859375,140.0380859375,519349800,229.27000427246094,251.0,226.36000061035156,250.1199951171875,226.83311462402344,93252100,245.97999572753906,270.4700012207031,243.6699981689453,269.92999267578125,249.76690673828125,2048691700
2019-02-01,167.3300018310547,174.66000366210938,166.57000732421875,173.19000244140625,168.0047149658203,535964100,149.35000610351562,159.5,148.38999938964844,156.77999877929688,147.29087829589844,352758000,250.6699981689453,262.3599853515625,249.1300048828125,259.2799987792969,235.3081817626953,60166600,270.1499938964844,281.30999755859375,267.8299865722656,278.67999267578125,257.8634338378906,1371716300
2019-03-01,174.44000244140625,182.8300018310547,169.33999633789062,179.66000366210938,174.281005859375,781972700,157.9499969482422,158.77999877929688,148.41000366210938,153.08999633789062,143.82421875,500541900,261.1499938964844,261.67999267578125,252.4600067138672,259.1300048828125,235.81716918945312,88452200,280.44000244140625,285.17999267578125,272.4200134277344,282.4800109863281,261.3795166015625,1678081300
2019-04-01,181.50999450683594,191.32000732421875,180.77000427246094,189.5399932861328,184.19984436035156,550157700,154.2899932861328,159.61000061035156,153.50999450683594,158.2899932861328,149.1058807373047,372554600,261.2300109863281,266.8599853515625,260.5799865722656,265.7900085449219,242.3909454345703,62240200,284.70001220703125,294.45001220703125,284.3999938964844,294.0199890136719,273.25579833984375,1209204700
2019-05-01,190.77999877929688,191.32000732421875,173.8699951171875,173.9499969482422,169.049072265625,901554000,158.6699981689453,161.11000061035156,145.32000732421875,145.86000061035156,137.39710998535156,437975000,266.4700012207031,266.80999755859375,248.22000122070312,248.22000122070312,226.50299072265625,90766600,294.7200012207031,294.95001220703125,275.239990234375,275.2699890136719,255.82997131347656,1845593200
2019-06-01,173.47999572753906,189.77000427246094,169.27000427246094,186.74000549316406,181.47872924804688,688730400,146.1300048828125,156.22000122070312,145.3300018310547,155.5,146.47775268554688,383318500,248.33999633789062,268.9599914550781,247.0399932861328,265.8500061035156,243.1949462890625,64656500,275.30999755859375,296.30999755859375,273.0899963378906,293.0,272.3078308105469,1340435600
2019-07-01,190.32000732421875,195.5500030517578,188.3800048828125,191.10000610351562,186.1265106201172,494025500,157.5399932861328,159.22999572753906,153.39999389648438,156.55999755859375,147.99618530273438,349511600,268.45001220703125,273.989990234375,266.0,268.5199890136719,246.2224578857422,47920200,296.67999267578125,302.2300109863281,294.3299865722656,297.42999267578125,277.7695007324219,1110102300
