Symbol,Name,52 Week ∆
PHM,PulteGroup,1.06067692406304
RCL,Royal Caribbean Group,0.7982621125415666
BKNG,Booking Holdings,0.6158750039478385
DHI,D.R. Horton,0.573411948874901
CCL,Carnival,0.5617739751651936
AMZN,Amazon,0.5421711665290826
LEN,Lennar,0.5050171082712058
CMG,Chipotle Mexican Grill,0.4391006860727333
NVR,"NVR, Inc.",0.4337783002802127
EXPE,Expedia Group,0.38724451499989754
GRMN,Garmin,0.31286393209763347
ABNB,Airbnb,0.3005012364894671
TSLA,"Tesla, Inc.",0.3002941332882601
MAR,Marriott International,0.27246302473139067
LULU,Lululemon Athletica,0.21443149354349478
HLT,Hilton Worldwide,0.2062934550390701
ROST,Ross Stores,0.1973232801277773
