Symbol,Name,52 Week ∆
NVDA,Nvidia,2.199299258242014
AVGO,Broadcom Inc.,0.8979152718342928
ADBE,Adobe Inc.,0.8214954960605518
FICO,Fair Isaac,0.8088684440304346
SNPS,Synopsys,0.6409831699623665
AMD,AMD,0.6395270252402606
NOW,ServiceNow,0.6384395246416182
CDNS,Cadence Design Systems,0.6256816268816545
ANET,Arista Networks,0.5842191589262399
LRCX,Lam Research,0.5334793258949829
MSFT,Microsoft,0.5332476752834566
CRM,Salesforce,0.49432593389225193
PANW,Palo Alto Networks,0.4783257860877705
INTU,Intuit,0.473833668402797
INTC,Intel,0.46668899037149747
KLAC,KLA Corporation,0.4469362367172836
ORCL,Oracle Corporation,0.4468831776402962
MPWR,Monolithic Power Systems,0.43123697496880786
AMAT,Applied Materials,0.41919771412548557
STX,Seagate Technology,0.39050756235600514
